,seed,n_doc,k,mean_max_envies,better_off,worse_off,max_dual_1,max_dual_2
177,5,90,10,0.006311980268218188,73.33333333333333,15.555555555555555,5.1847498342959286e-17,2.629256336033953
178,5,90,15,0.00714682468512041,73.33333333333333,15.555555555555555,4.56631815088456e-17,2.3207471304519713
179,5,90,20,0.007755089917093093,73.33333333333333,15.555555555555555,3.953962983227814e-17,2.140453106916803
180,6,50,1,0.0030337102461377163,84.0,0.0,3.090523119514434e-16,5.666728576057722
181,6,50,3,0.005561121676407059,84.0,0.0,1.1352168940777504e-16,3.090932858308555
182,6,50,5,0.0069272921798887496,84.0,0.0,8.556232901580718e-17,2.481785343239112
183,6,50,10,0.008891759109254209,84.0,0.0,6.602519632031703e-17,1.9347205737209308
184,6,50,15,0.010063607932752372,84.0,0.0,5.626027174069217e-17,1.7077582095829202
185,6,50,20,0.010911117301131128,84.0,0.0,0.030870626836516365,1.5715634579302808
186,6,60,1,0.0028570961470549606,80.0,0.0,8.560639869854473e-16,6.348073774559869
187,6,60,3,0.0052396273876868975,80.0,0.0,1.1216821926555216e-16,3.46258411456563
188,6,60,5,0.00652181792083138,80.0,0.0,7.980237445084369e-17,2.7801871818036257
189,6,60,10,0.00836350460592068,80.0,0.0,3.572739559917429e-17,2.1673435305384867
190,6,60,15,0.009480018638973913,80.0,0.0,2.9723098970644656e-17,1.9130923259062471
191,6,60,20,0.010270576320089346,80.0,0.0,0.03230627698557533,1.76585325393863
192,6,70,1,0.0026567206243795194,77.14285714285715,5.714285714285714,1.9306744100087306e-15,6.799992128967102
193,6,70,3,0.004870489000930804,77.14285714285715,5.714285714285714,1.156941854860634e-16,3.7091976265279705
194,6,70,5,0.0060636590573798915,77.14285714285715,5.714285714285714,8.241849043099405e-17,2.9781709617041043
195,6,70,10,0.0077798207094417916,77.14285714285715,5.714285714285714,5.811958408912275e-17,2.3216790511538186
196,6,70,15,0.008815614509087142,77.14285714285715,5.714285714285714,3.075197435854323e-17,2.0493422526011793
197,6,70,20,0.009558178846641428,77.14285714285715,5.714285714285714,1.4750139873590086e-17,1.89012318987162
198,6,80,1,0.002488986764076104,76.25,10.0,2.3460986331386104e-15,7.20445939635282
199,6,80,3,0.004563136617806168,76.25,10.0,2.5181512895355763e-16,3.929704797717362
200,6,80,5,0.00568427838962836,76.25,10.0,7.752936368996382e-17,3.1553408021744422
201,6,80,10,0.0072897140854803035,76.25,10.0,5.34889180607708e-17,2.459721417441471
202,6,80,15,0.008262707447044288,76.25,10.0,2.951777519313223e-17,2.1709628364089153
203,6,80,20,0.008954685053385873,76.25,10.0,5.083424558302889e-08,2.0023799666723345
204,6,90,1,0.0023149477822206857,74.44444444444444,15.555555555555555,1.9030206698405252e-15,7.500813311834314
205,6,90,3,0.004243991666160212,74.44444444444444,15.555555555555555,1.2537476525487051e-16,4.091493386543147
206,6,90,5,0.005285896017122441,74.44444444444444,15.555555555555555,7.90390094773531e-17,3.285137570643368
207,6,90,10,0.006780681435154919,74.44444444444444,15.555555555555555,4.9484096766736564e-17,2.5609898903250885
208,6,90,15,0.0076798298632173335,74.44444444444444,15.555555555555555,4.2264890874175204e-17,2.260563952222551
209,6,90,20,0.00833200230207462,74.44444444444444,15.555555555555555,4.327957723801251e-17,2.084940297351995
210,7,50,1,0.003056701243600328,78.0,0.0,3.356072846283773e-16,5.835260100602088
211,7,50,3,0.005606176736085713,78.0,0.0,1.1481087301065289e-16,3.182873707203977
212,7,50,5,0.006980708600577943,78.0,0.0,8.477366080513868e-17,2.5555674005870386
213,7,50,10,0.008953159364181363,80.0,0.0,3.7015856880964e-17,1.9920412927253948
214,7,50,15,0.010143434546180235,80.0,0.0,0.0021162616439452395,1.758213441784246
215,7,50,20,0.011002374952053601,78.0,0.0,0.03327582469406258,1.6137248923619116
216,7,60,1,0.0028116381715053086,78.33333333333333,0.0,3.2016275470842607e-16,6.3566485849132155
217,7,60,3,0.005156211522644464,78.33333333333333,0.0,1.0989686377757991e-16,3.4672469832440758
218,7,60,5,0.006418990904489649,78.33333333333333,0.0,8.010903712980964e-17,2.783935102350721
219,7,60,10,0.008236113511506363,78.33333333333333,0.0,6.968286193444949e-17,2.1702563803682997
220,7,60,15,0.009329671243757305,78.33333333333333,0.0,5.647808731428524e-17,1.9156658344408863
221,7,60,20,0.010111921265934304,78.33333333333333,0.0,0.03267526206109746,1.7647234719100304
222,7,70,1,0.00264227639909123,75.71428571428571,8.571428571428571,3.204773798945883e-16,6.916031693661226
223,7,70,3,0.004844291931977605,75.71428571428571,8.571428571428571,1.155534403094063e-16,3.7723810976766603
224,7,70,5,0.006034013907677406,75.71428571428571,8.571428571428571,8.373248002300987e-17,3.028918630363954
225,7,70,10,0.007738930678745347,75.71428571428571,8.571428571428571,6.347787293299615e-17,2.361253445232009
226,7,70,15,0.00876901186950165,75.71428571428571,8.571428571428571,2.9527103607452785e-17,2.0842551239136253
227,7,70,20,0.009506295399926652,75.71428571428571,8.571428571428571,3.0554876091072084e-17,1.9223279729493516
228,7,80,1,0.0024690881878598496,73.75,12.5,2.2859110599171892e-15,7.310169894848557
229,7,80,3,0.004526649307867852,73.75,12.5,2.7006450285840724e-16,3.9874318363765826
230,7,80,5,0.005636173882891898,73.75,12.5,8.015091524934109e-17,3.201579367055434
231,7,80,10,0.007234922015843052,73.75,12.5,5.645963784857934e-17,2.495859901096224
232,7,80,15,0.008193035767020618,73.75,12.5,3.006974126210038e-17,2.203066682920358
233,7,80,20,0.008883147471984135,73.75,12.5,1.396081714450735e-17,2.031910590805411
234,7,90,1,0.0023023087139887183,71.11111111111111,14.444444444444443,1.6918742253108353e-15,7.545314941696525
235,7,90,3,0.004221053946831679,71.11111111111111,14.444444444444443,1.264670202816774e-16,4.11562649177734
236,7,90,5,0.005256715109455529,71.11111111111111,14.444444444444443,7.657855513198828e-17,3.3044708604298108
237,7,90,10,0.006742945401416447,71.11111111111111,14.444444444444443,4.995857766461833e-17,2.5761238408867384
238,7,90,15,0.007636491531884382,71.11111111111111,14.444444444444443,4.3202060021799065e-17,2.273898186295059
239,7,90,20,0.008282096440650394,71.11111111111111,14.444444444444443,4.413929749090429e-17,2.097228765085114
240,8,50,1,0.002807463894766349,74.0,0.0,3.500052187788465e-16,6.076995672524951
241,8,50,3,0.005148695815251697,74.0,0.0,1.1748967127562232e-16,3.314842144978072
