,seed,n_doc,k,mean_max_envies,better_off,worse_off,max_dual_1,max_dual_2
0,0,50,1,7.384254377384991e-09,30.0,0.0,1.0151190884975335e-16,0.6103064790031383
1,0,50,3,9.154645461296962e-07,30.0,0.0,4.989374262095651e-18,0.33289364951748596
2,0,50,5,1.9140392346413293e-06,30.0,0.0,3.826552918416712e-18,0.26729449274242695
3,0,50,10,3.230890626297267e-06,30.0,0.0,2.8088332537563565e-18,0.20836794235763598
4,0,50,15,4.0506935837707485e-06,30.0,0.0,0.0008637977017298775,0.1838988300731817
5,0,50,20,4.6934933837489375e-06,30.0,0.0,0.0049890926265510815,0.1685637261598713
6,0,60,1,5.2692250264163576e-08,100.0,0.0,9.275053598577586e-17,0.6384336267607452
7,0,60,3,3.242062201323318e-07,100.0,0.0,1.8105062433767258e-17,0.3482415897106078
8,0,60,5,1.3490874971852948e-06,100.0,0.0,3.57939640494781e-18,0.2796083307436132
9,0,60,10,2.259604962272201e-06,100.0,0.0,2.630599459744404e-18,0.217959331420828
10,0,60,15,1.5580130390456059e-06,100.0,0.0,2.2103039149568895e-18,0.19234093625848478
11,0,60,20,3.838954483698457e-06,100.0,0.0,0.004414536239087989,0.17673795885807433
12,0,70,1,1.1864970185895094e-08,100.0,0.0,9.822452108604184e-17,0.6802181858870311
13,0,70,3,2.953459777518196e-07,100.0,0.0,0.0,0.37102976691480594
14,0,70,5,5.287957608123261e-07,100.0,0.0,3.3972101856333366e-18,0.29790933377277384
15,0,70,10,5.637874190526829e-07,100.0,0.0,2.4722956225148185e-18,0.23224679956581537
16,0,70,15,3.892517613851225e-07,100.0,0.0,2.1102869901871713e-18,0.20499913326263125
17,0,70,20,2.9403442442573015e-06,100.0,0.0,1.8881871628815113e-18,0.18906733381761295
18,0,80,1,2.6394934538390145e-09,100.0,0.0,9.844111149519897e-17,0.7154170396467582
19,0,80,3,1.2732826767926365e-07,100.0,0.0,1.8066669347195373e-17,0.390227482092088
20,0,80,5,2.572755027252863e-07,100.0,0.0,0.0,0.3133214189575028
21,0,80,10,1.1250982258055769e-06,100.0,0.0,2.406603103982327e-18,0.24426106252556487
22,0,80,15,1.7600970875838831e-06,100.0,0.0,2.0423531690930625e-18,0.2156084631723126
23,0,80,20,7.8603756183928e-07,100.0,0.0,1.831525162649355e-18,0.19885140848289032
24,0,90,1,2.1613030685591128e-09,100.0,0.0,9.661959694379988e-17,0.7661479272123899
25,0,90,3,2.031390867850438e-07,100.0,0.0,1.7378189699365815e-17,0.417889093179327
26,0,90,5,6.105182656414282e-07,100.0,0.0,0.0,0.3355321159657056
27,0,90,10,2.6797864648858216e-07,100.0,0.0,2.3473526013445738e-18,0.2615743568780691
28,0,90,15,1.5643727024722277e-06,100.0,0.0,1.995876338520035e-18,0.2308927146308997
29,0,90,20,1.057901985734375e-06,100.0,0.0,1.794000960097592e-18,0.21295953607736823
30,1,50,1,3.2284192076348353e-09,30.0,0.0,9.886633179079701e-17,0.6103018923450346
31,1,50,3,7.783464804472563e-07,30.0,0.0,4.981850747274764e-18,0.3328940875411639
32,1,50,5,1.3462342280081252e-06,30.0,0.0,3.819989799638654e-18,0.2672954193754091
33,1,50,10,2.518012256967239e-06,30.0,0.0,2.805701400545538e-18,0.20836705673052866
34,1,50,15,3.536861541919389e-06,30.0,0.0,0.0008648703163011422,0.18389917273387507
35,1,50,20,4.537867662864236e-06,30.0,0.0,0.004989115398146488,0.1685637325946725
36,1,60,1,5.914343271302198e-11,100.0,0.0,9.766592119905217e-17,0.642523694248695
37,1,60,3,9.042847462937018e-07,100.0,0.0,0.0,0.3504779268970042
