,seed,n_doc,k,mean_max_envies,better_off,worse_off,max_dual_1,max_dual_2
133,4,70,3,0.00960711227426661,61.42857142857143,22.857142857142858,1.0195242017930127e-15,39.08849124753201
134,4,70,5,0.011965870557025129,61.42857142857143,22.857142857142858,7.540356659324982e-16,31.385153834720914
135,4,70,10,0.015349930349604711,61.42857142857143,22.857142857142858,1.2700540344706454e-15,24.46680110049658
136,4,70,15,0.017390598687293462,61.42857142857143,22.857142857142858,4.507909471617482e-16,21.59662959931427
137,4,70,20,0.01885480696910903,61.42857142857143,22.857142857142858,1.1789267022455618e-06,19.91878083163891
138,4,80,1,0.0050133058358962715,60.0,25.0,9.648363089489466e-15,76.89782890621832
139,4,80,3,0.00918995982382195,60.0,25.0,1.7152610583622646e-15,41.94288896170311
140,4,80,5,0.011444655453076961,60.0,25.0,7.560483767312879e-16,33.67796430384504
141,4,80,10,0.014684226722307936,60.0,25.0,1.0627265948153193e-16,26.253889518029464
142,4,80,15,0.016635376913295696,60.0,25.0,8.340692420843709e-17,23.174261611851378
143,4,80,20,0.018036619082006426,60.0,25.0,5.241622758100184e-08,21.373884842053364
144,4,90,1,0.004765041418387918,60.0,28.888888888888886,2.5258583193576085e-14,79.42033797831664
145,4,90,3,0.00873564460748181,60.0,28.888888888888886,1.5371288421045068e-15,43.32150925275207
146,4,90,5,0.010882996314285454,60.0,28.888888888888886,3.6885665034735055e-16,34.78432203485754
147,4,90,10,0.013956827964225616,60.0,28.888888888888886,1.0393964344961316e-15,27.11641500528888
148,4,90,15,0.015809736435507073,60.0,28.888888888888886,2.0155209304218058e-16,23.935782199625894
149,4,90,20,0.017144275800726767,60.0,28.888888888888886,3.5935755678947785e-16,22.07562577556308
150,5,50,1,0.0061052467799945645,57.99999999999999,14.000000000000002,2.9386031449058663e-15,58.49813742770854
151,5,50,3,0.011713714648691342,57.99999999999999,14.000000000000002,1.0544348269658047e-15,31.90823886507088
152,5,50,5,0.014733238345562966,57.99999999999999,14.000000000000002,7.684960394850108e-16,25.61969982987424
153,5,50,10,0.01794037330813336,57.99999999999999,14.000000000000002,1.0463925254379422e-15,19.97230169696982
154,5,50,15,0.020693722792878594,57.99999999999999,14.000000000000002,0.2085479809855977,17.635884222055612
155,5,50,20,0.023113096230593072,57.99999999999999,14.000000000000002,0.21298724383845974,16.2487257722576
156,5,60,1,0.005448274364180378,63.33333333333333,18.333333333333332,9.948870110422348e-15,67.62864047735826
157,5,60,3,0.009988274471370294,63.33333333333333,18.333333333333332,1.0671150242276497e-15,36.88826542160527
158,5,60,5,0.01244210594303279,63.33333333333333,18.333333333333332,7.592928881790655e-16,29.61873189800812
159,5,60,10,0.015958470581033137,63.33333333333333,18.333333333333332,5.303227200573729e-16,23.08972989559218
160,5,60,15,0.018078682772510624,63.33333333333333,18.333333333333332,2.324252747305619e-16,20.38097486805199
161,5,60,20,0.019584422427041927,63.33333333333333,20.0,0.2695146402690968,18.7775371961894
162,5,70,1,0.005133843698102207,61.42857142857143,24.285714285714285,0.0,74.31123089644926
163,5,70,3,0.0094124800166605,61.42857142857143,24.285714285714285,1.0314224274682447e-15,40.53337661562599
164,5,70,5,0.011720330467534849,61.42857142857143,24.285714285714285,7.577975758795441e-16,32.5456247943459
165,5,70,10,0.015039729552975995,61.42857142857143,24.285714285714285,1.071063414311872e-15,25.36803372544146
166,5,70,15,0.017033650272896377,61.42857142857143,24.285714285714285,4.557774769514096e-16,22.394769827300806
